1.0000000E+00	6.5707846E+02	1.0001522E-03	1.9245488E+02	4.1766227E+03	2.5027405E+06	1.7311087E-03	5.5888916E-01	1.3060630E+01	9.2394762E-06
2.0000000E+00	7.0596886E+02	1.0001105E-03	1.7977575E+02	8.3917321E+03	2.5045747E+06	1.6736276E-03	5.6139926E-01	1.2561239E+01	9.2631747E-06
3.0000000E+00	7.5805427E+02	1.0000859E-03	1.6802743E+02	1.2603852E+04	2.5064081E+06	1.6191347E-03	5.6385734E-01	1.2091002E+01	9.2871189E-06
4.0000000E+00	8.1351271E+02	1.0000778E-03	1.5713517E+02	1.6813199E+04	2.5082406E+06	1.5674232E-03	5.6626562E-01	1.1647668E+01	9.3113037E-06
5.0000000E+00	8.7253022E+02	1.0000856E-03	1.4703069E+02	2.1019976E+04	2.5100723E+06	1.5183037E-03	5.6862620E-01	1.1229202E+01	9.3357239E-06
6.0000000E+00	9.3530117E+02	1.0001090E-03	1.3765162E+02	2.5224370E+04	2.5119032E+06	1.4716030E-03	5.7094101E-01	1.0833758E+01	9.3603748E-06
7.0000000E+00	1.0020285E+03	1.0001474E-03	1.2894089E+02	2.9426555E+04	2.5137332E+06	1.4271617E-03	5.7321187E-01	1.0459657E+01	9.3852515E-06
8.0000000E+00	1.0729239E+03	1.0002004E-03	1.2084632E+02	3.3626692E+04	2.5155624E+06	1.3848337E-03	5.7544049E-01	1.0105373E+01	9.4103493E-06
9.0000000E+00	1.1482084E+03	1.0002676E-03	1.1332012E+02	3.7824931E+04	2.5173906E+06	1.3444844E-03	5.7762844E-01	9.7695137E+00	9.4356637E-06
1.0000000E+01	1.2281122E+03	1.0003485E-03	1.0631850E+02	4.2021414E+04	2.5192180E+06	1.3059897E-03	5.7977723E-01	9.4508070E+00	9.4611904E-06
1.1000000E+01	1.3128753E+03	1.0004430E-03	9.9801350E+01	4.6216271E+04	2.5210444E+06	1.2692353E-03	5.8188824E-01	9.1480895E+00	9.4869249E-06
1.2000000E+01	1.4027478E+03	1.0005504E-03	9.3731856E+01	5.0409624E+04	2.5228700E+06	1.2341155E-03	5.8396280E-01	8.8602954E+00	9.5128632E-06
1.3000000E+01	1.4979898E+03	1.0006707E-03	8.8076245E+01	5.4601588E+04	2.5246945E+06	1.2005326E-03	5.8600211E-01	8.5864466E+00	9.5390011E-06
1.4000000E+01	1.5988723E+03	1.0008034E-03	8.2803503E+01	5.8792269E+04	2.5265182E+06	1.1683961E-03	5.8800734E-01	8.3256445E+00	9.5653347E-06
1.5000000E+01	1.7056770E+03	1.0009482E-03	7.7885135E+01	6.2981769E+04	2.5283408E+06	1.1376221E-03	5.8997956E-01	8.0770619E+00	9.5918600E-06
1.6000000E+01	1.8186968E+03	1.0011049E-03	7.3294945E+01	6.7170181E+04	2.5301624E+06	1.1081328E-03	5.9191979E-01	7.8399369E+00	9.6185733E-06
1.7000000E+01	1.9382360E+03	1.0012732E-03	6.9008838E+01	7.1357594E+04	2.5319830E+06	1.0798560E-03	5.9382898E-01	7.6135662E+00	9.6454709E-06
1.8000000E+01	2.0646109E+03	1.0014529E-03	6.5004636E+01	7.5544091E+04	2.5338026E+06	1.0527243E-03	5.9570803E-01	7.3973003E+00	9.6725491E-06
1.9000000E+01	2.1981499E+03	1.0016437E-03	6.1261921E+01	7.9729749E+04	2.5356211E+06	1.0266752E-03	5.9755779E-01	7.1905384E+00	9.6998043E-06
2.0000000E+01	2.3391937E+03	1.0018453E-03	5.7761877E+01	8.3914641E+04	2.5374384E+06	1.0016504E-03	5.9937904E-01	6.9927240E+00	9.7272332E-06
2.1000000E+01	2.4880959E+03	1.0020577E-03	5.4487160E+01	8.8098837E+04	2.5392547E+06	9.7759556E-04	6.0117253E-01	6.8033413E+00	9.7548324E-06
